Time,stock_id,每股盈餘,ROE(A)－稅後,ROE(B)－常續利益,營業毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,貝里比率,常續利益率－稅後,營業費用率,現金流量比率,每股淨值(A),每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,淨值/資產,負債比率,總負債/總淨值,長期資金適合率(A),營業利益 /實收資本比,稅前純益 /實收資本,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,自由現金流量(D),淨營業週期（日）,淨值週轉率（次）,固定資產週轉次數,當季季底P/B,當季季底PSR,季底普通股市值,交易所主產業代碼,Y_ExpRet
2009-03-01,1323,0.18,1.76,1.65,22.37,7.21,5.97,4.34,-1.23,147.53,4.07,15.16,19.71,14.31,2.05,6.19,0.45,0.37,-6.01,-8.76,-10.04,0.0,0.0,-3.31,4.38,9.31,0.14,157.63,116.26,45.67,54.33,118.94,135.6,4.44,3.68,469757.0,50.46,5.5,0.73,19698.0,111.79,1.62,1.49,0.68,0.35,762441.0,M1300,0.823533044453822
2009-03-01,1324,0.17,1.33,1.31,21.23,4.52,6.83,4.92,2.31,127.06,4.84,16.71,1.35,12.49,0.04,3.35,0.15,0.23,-16.99,150.82,646.61,996.81,996.81,978.55,0.29,8.9,1.01,317.24,225.44,79.86,20.14,25.22,186.69,1.51,2.29,448279.0,36.06,5.71,0.85,-3075.0,69.88,1.08,1.99,0.79,0.57,743698.0,M1300,1.1538492016323945
2009-03-01,1325,0.42,2.49,2.5,26.44,17.08,19.79,17.75,2.72,282.35,17.87,9.36,93.05,15.22,0.91,2.21,0.38,0.45,-34.33,5.47,54.25,56.48,56.48,59.42,3.95,3.97,0.82,1009.25,846.35,89.46,10.54,11.78,252.38,3.89,4.51,788547.0,15.57,7.3,0.5,-16863.0,107.07,0.56,1.38,0.67,0.83,904477.0,M1300,1.405930379056179
2009-03-01,1326,-0.47,-1.31,-1.36,-1.56,-6.14,-4.96,-4.93,1.18,-34.11,-5.12,4.58,17.03,32.76,3.0,10.15,-0.62,-0.52,-26.31,-193.58,-149.86,-151.71,-151.71,-153.02,-4.18,-18.0,-1.77,114.63,75.93,54.57,45.43,83.26,166.42,-6.4,-5.18,14239860.0,25.28,11.15,0.57,-2040103.0,77.32,1.06,1.29,1.22,0.82,220989200.0,M1300,0.8210797406062671
2009-03-01,1402,0.33,2.33,2.12,24.67,8.67,10.96,8.69,2.29,154.22,7.91,16.0,17.08,19.09,2.57,7.77,0.67,0.87,-20.56,-47.77,-35.84,-38.83,-38.83,-43.51,-2.61,-4.46,-0.63,102.59,69.91,51.21,48.79,95.27,159.86,6.87,8.69,1777831.0,26.24,6.66,0.54,4418112.0,70.15,1.07,1.21,1.38,0.74,120646759.0,M1400,0.2925936048100575
2009-03-01,1409,0.06,0.53,0.12,11.71,1.29,2.1,1.7,0.8,112.41,0.4,10.42,8.02,10.56,0.7,4.3,0.06,0.09,-26.77,99.12,3834.45,798.72,798.72,116.33,-6.1,-16.06,0.14,171.28,94.18,25.84,74.16,287.04,150.01,0.55,0.89,8963499.0,34.11,8.46,0.32,138217.0,86.78,1.24,1.46,0.5,0.25,7517557.0,M1400,1.1389324960753533
2009-03-01,1410,-0.09,-0.72,-0.72,7.12,-9.48,-6.26,-9.36,3.22,42.9,-9.34,16.61,19.26,12.45,0.28,1.0,-0.09,-0.06,-21.75,29.48,-48.11,-128.72,-128.72,-18.56,-5.4,-1.15,-0.38,327.46,302.26,78.01,21.99,28.2,117.73,-0.94,-0.62,298354.0,7.77,4.65,0.24,1847.0,78.94,0.31,0.36,0.74,1.76,832500.0,M1400,0.7124654222299667
2009-03-01,1413,-0.19,-3.59,-3.58,-2.51,-6.44,-7.41,-9.65,-0.97,-63.68,-9.63,3.94,0.02,5.09,0.0,3.26,-0.21,-0.14,-51.11,-587.12,-42369.8,-50869.2,-50869.2,-737.0,-11.91,-23.73,-1.76,97.28,26.99,49.01,50.99,104.03,83.6,-1.24,-1.43,-30458.0,64.25,14.42,0.74,-15013.0,108.18,1.49,1.24,0.39,0.18,555944.0,M1400,1.8284452296819786
2009-03-01,1414,-0.41,-6.07,-6.07,-5.31,-8.79,-10.51,-10.51,-1.71,-152.07,-10.51,3.49,3.46,6.59,0.32,3.93,-0.35,-0.41,-21.16,-1221.99,-1904.66,-1904.66,-1904.66,-1837.07,-10.65,-19.06,-2.05,43.97,18.76,31.84,68.16,214.08,48.89,-3.45,-4.13,-1122745.0,51.59,15.18,0.75,4823.0,54.77,2.31,1.03,0.43,0.17,616000.0,M1400,0.7820129546586947
2009-03-01,1417,0.0,0.04,-0.15,28.89,-4.3,0.02,0.3,4.32,87.04,-1.2,33.19,6.91,10.22,0.17,1.29,-0.06,0.0,25.78,56.45,-99.94,-99.24,-99.24,88.68,-6.27,-9.38,-4.3,237.98,164.45,77.23,22.77,29.48,376.94,-0.55,0.0,1296566.0,21.62,8.34,0.4,-64436.0,172.66,0.51,1.9,0.49,1.04,1899415.0,M1400,0.6123582276990702
2009-03-01,1419,-0.05,-0.33,-0.33,31.96,-3.22,-9.03,-9.2,-5.81,90.84,-9.2,35.19,2.3,14.51,0.18,0.52,-0.02,-0.05,10.95,53.2,43.05,40.88,40.88,22.97,6.62,-13.29,0.19,29.57,22.21,57.43,42.57,74.12,90.17,-0.17,-0.47,-1665177.0,4.74,8.48,0.09,-35257.0,147.69,0.15,0.14,1.18,7.23,5115699.0,M1400,1.189419425469557
2009-03-01,1423,-0.06,-0.48,-0.51,-6.15,-11.12,-8.32,-4.78,2.8,-123.71,-5.14,4.97,90.43,13.42,0.15,1.33,-0.15,-0.11,-51.5,-2644.07,-881.46,-464.04,-464.04,-124.12,-12.31,-11.39,-0.35,4254.25,2249.8,87.45,12.55,14.35,516.11,-1.48,-1.11,1229283.0,25.33,27.71,0.35,10811.0,234.31,0.4,2.04,0.32,0.57,743750.0,M1400,0.8018179752300874
