Time,stock_id,每股盈餘,ROE(A)－稅後,ROE(B)－常續利益,營業毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,貝里比率,常續利益率－稅後,營業費用率,現金流量比率,每股淨值(A),每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,淨值/資產,負債比率,總負債/總淨值,長期資金適合率(A),營業利益 /實收資本比,稅前純益 /實收資本,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,自由現金流量(D),淨營業週期（日）,淨值週轉率（次）,固定資產週轉次數,當季季底P/B,當季季底PSR,季底普通股市值,交易所主產業代碼,Y_ExpRet
2010-03-31,1325,0.31,1.65,1.65,16.27,9.92,10.53,9.57,0.6,256.49,9.57,6.34,84.68,16.53,1.15,2.94,0.29,0.32,37.02,-20.37,-27.13,-26.14,-26.14,-26.61,11.28,10.05,-0.33,793.95,652.39,88.47,11.53,13.03,239.48,3.01,3.19,863552.0,16.58,7.61,0.61,-8004.0,92.25,0.69,1.62,1.47,1.95,2230351.0,M1300,1.983426148378597
2010-03-31,1326,2.0,4.25,4.25,13.4,10.22,13.42,13.13,3.2,422.31,13.12,3.17,2.23,43.29,0.4,16.1,1.65,2.16,58.52,363.95,528.75,522.59,522.59,506.16,17.14,32.38,3.43,170.48,115.67,61.67,38.33,62.17,218.68,16.41,21.54,71175321.0,28.04,10.59,0.8,4737285.0,54.5,1.29,2.19,1.72,1.28,422802070.0,M1300,0.7306725899320243
2010-03-31,1402,0.43,2.63,2.79,23.26,10.38,9.92,8.42,-0.46,180.52,8.97,12.89,4.78,20.1,0.8,9.36,0.97,0.95,22.84,46.94,11.13,19.04,19.04,39.19,3.22,4.65,0.22,109.71,73.02,51.92,48.08,92.61,171.16,9.9,9.46,7555394.0,31.93,7.48,0.65,694263.0,63.73,1.25,1.6,1.74,0.94,162681185.0,M1400,0.7937261278977423
2010-03-31,1409,0.11,0.91,1.02,13.62,4.97,3.19,2.48,-1.78,157.42,2.76,8.65,-3.36,12.6,-0.34,5.42,0.27,0.19,43.17,450.05,117.59,108.07,108.07,884.78,5.59,21.37,0.18,172.89,86.62,29.7,70.3,236.73,183.21,2.85,1.83,10920199.0,34.24,9.06,0.43,-834223.0,69.65,1.48,2.12,0.94,0.55,17978232.0,M1400,1.494438897531753
2010-03-31,1410,0.12,1.06,0.98,22.57,10.31,9.78,9.44,-0.52,184.03,8.71,12.26,30.93,12.66,0.48,1.47,0.15,0.14,47.93,260.77,331.22,249.2,249.2,237.99,2.34,2.21,1.32,360.16,329.32,77.9,22.1,28.37,126.16,1.52,1.44,364044.0,10.84,4.93,0.35,1188.0,63.01,0.45,0.56,1.28,2.8,1458000.0,M1400,1.112062170413544
2010-03-31,1413,-0.07,-0.83,-0.96,2.85,0.0,-0.13,-1.18,-0.14,100.11,-1.36,2.85,12.2,7.84,0.85,5.71,0.0,-0.01,75.21,100.09,96.82,78.48,78.48,75.29,0.58,-5.97,1.32,110.72,39.97,45.82,54.18,118.25,89.17,0.0,-0.08,125001.0,76.16,16.83,1.3,-12162.0,59.36,2.82,2.48,0.74,0.27,981979.0,M1400,2.0795248984606984
2010-03-31,1414,-0.08,-1.12,-1.19,2.28,-1.04,-1.53,-1.53,-0.49,68.59,-1.62,3.33,1.13,6.94,0.12,5.11,-0.05,-0.08,30.19,84.53,81.01,81.01,81.01,79.91,7.82,5.4,1.56,67.63,17.71,31.12,68.88,221.3,61.46,-0.53,-0.78,-726770.0,55.27,19.4,0.92,-185115.0,40.27,2.93,1.46,0.74,0.3,1133000.0,M1400,1.956148713060057
2010-03-31,1417,0.09,0.86,0.36,38.32,3.79,8.0,6.25,4.21,110.97,2.61,34.54,12.45,10.96,0.36,1.5,0.06,0.12,17.04,203.1,40712.5,2303.77,2303.77,353.89,9.07,7.24,0.69,227.39,164.68,75.93,24.07,31.69,427.52,0.57,1.2,1415552.0,19.95,11.52,0.42,64788.0,170.69,0.55,2.34,0.79,1.71,3270793.0,M1400,1.1121614524720536
2010-03-31,1419,0.03,0.18,0.01,29.99,3.73,5.96,5.42,2.23,114.19,0.41,26.26,3.01,19.98,0.22,0.62,0.02,0.04,19.06,237.72,178.51,170.22,170.22,105.36,19.23,37.74,0.23,54.67,47.21,66.35,33.65,50.73,125.27,0.23,0.37,-989224.0,3.17,8.82,0.08,-9915.0,89.72,0.13,0.16,1.97,14.6,11791611.0,M1400,1.4746386216819576
2010-03-31,1423,-0.04,-0.33,-0.37,2.77,-2.5,-4.49,-3.75,-1.99,52.56,-4.16,5.27,141.24,13.54,0.29,1.21,-0.03,-0.05,-9.54,79.68,51.16,29.02,29.02,26.82,1.13,0.96,0.09,3731.44,2350.07,87.31,12.69,14.53,545.34,-0.3,-0.54,1295660.0,21.4,21.88,0.31,668.0,232.37,0.36,1.93,0.59,1.54,1400000.0,M1400,1.0380537772087068
