證券代碼,簡稱,年月,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼
6533,晶心科,202003  ,M2300,M2324,23G,23G5
6477,安集,202003  ,M2300,M2326,23C,23C7E
6504,南六,202003  ,M9900,M9900,14F,14F
6405,悅城,202003  ,M2300,M2326,23C,23C8C
6409,旭隼,202003  ,M2300,M2331,23D,23D3
6412,群電,202003  ,M2300,M2328,23D,23D3
6414,樺漢,202003  ,M2300,M2325,23B,23B5B
6505,台塑化,202003  ,M9700,M9700,13C,13C
6416,瑞祺電通,202003  ,M2300,M2327,23E,23E1
6552,易華電,202003  ,M2300,M2324,23G,23G2
6515,穎崴,202003  ,M2300,M2324,23B,23B3X
6558,興能高,202003  ,M2300,M2331,23D,23D7
6239,力成,202003  ,M2300,M2324,23G,23G2
6415,矽力-KY,202003  ,M2300,M2324,23G,23G5
6582,申豐,202003  ,M2100,M2100,21C,21C
6541,泰福-KY,202003  ,M1700,M1722,17C,17C1
6591,動力-KY,202003  ,M2300,M2325,23D,23D9B
6592,和潤企業,202003  ,M9900,M9900,28K,28K
6426,統新,202003  ,M2300,M2327,23K,23K6
6431,光麗-KY,202003  ,M2300,M2326,23C,23C8E
6666,羅麗芬-KY,202003  ,M1700,M1722,17Z,17Z
6581,鋼聯,202003  ,M9900,M9900,99L,99L2
6674,鋐寶科技,202003  ,M2300,M2327,23K,23K2
6456,GIS-KY,202003  ,M2300,M2326,23C,23C8E
6668,中揚光,202003  ,M2300,M2326,23U,23U1
6525,捷敏-KY,202003  ,M2300,M2324,23G,23G2
6598,ABC-KY,202003  ,M1700,M1722,17G,17G
6743,安普新,202003  ,M2300,M2331,23U,23UZ
6754,匯僑設計,202003  ,M9900,M9900,25C,25C
6605,帝寶,202003  ,M2200,M2200,15D,15D
6625,必應,202003  ,M9900,M9900,99H,99H
6641,基士德-KY,202003  ,M9900,M9900,15Z,15Z
6442,光聖,202003  ,M2300,M2327,23K,23K6
6443,元晶,202003  ,M2300,M2326,23C,23C7C
6579,研揚,202003  ,M2300,M2325,23B,23B5B
6672,騰輝電子-KY,202003  ,M2300,M2328,23B,23B3A
6768,志強-KY,202003  ,M9900,M9900,99Z,99ZC
6706,惠特,202003  ,M2300,M2326,23H,23H2
6491,晶碩,202003  ,M1700,M1722,17G,17G
6715,嘉基,202003  ,M2300,M2328,23D,23D2
6669,緯穎,202003  ,M2300,M2325,23A,23A2
6670,復盛應用,202003  ,M9900,M9900,99Z,99Z2
6671,三能-KY,202003  ,M9900,M9900,99Z,99ZC
6756,威鋒電子,202003  ,M2300,M2324,23G,23G5
8163,達方,202003  ,M2300,M2325,23C,23C3
8104,錸寶,202003  ,M2300,M2326,23C,23C8A
6776,展碁國際,202003  ,M2300,M2329,23T,23T1
6698,旭暉應材,202003  ,M2300,M2331,23C,23C8C
6781,AES-KY,202003  ,M9900,M9900,23D,23D3
8011,台通,202003  ,M2300,M2327,23K,23K6
8105,凌巨,202003  ,M2300,M2326,23C,23C8D
8110,華東,202003  ,M2300,M2324,23G,23G2
8016,矽創,202003  ,M2300,M2324,23G,23G5
8021,尖點,202003  ,M2300,M2331,23B,23B3X
8028,昇陽半導體,202003  ,M2300,M2324,23G,23G3C
8033,雷虎,202003  ,M9900,M9900,99Z,99ZC
8039,台虹,202003  ,M2300,M2328,23B,23B3C
8046,南電,202003  ,M2300,M2328,23B,23B2A
8131,福懋科,202003  ,M2300,M2324,23G,23G2
8070,長華,202003  ,M2300,M2329,23T,23T2
8150,南茂,202003  ,M2300,M2324,23G,23G2
6573,虹揚-KY,202003  ,M2300,M2324,23D,23D1
8081,致新,202003  ,M2300,M2324,23G,23G5
6655,科定,202003  ,M9900,M9900,99Z,99ZC
8367,建新國際,202003  ,M2600,M2600,26C,26C
8374,羅昇,202003  ,M1500,M1500,15A,15A2
8072,陞泰,202003  ,M2300,M2329,23C,23C9
8101,華冠,202003  ,M2300,M2327,23K,23K1
8103,瀚荃,202003  ,M2300,M2328,23D,23D2
8404,百和興業-KY,202003  ,M9900,M9900,14Z,14Z
8442,威宏-KY,202003  ,M9900,M9900,99K,99K
8443,阿瘦,202003  ,M2900,M2900,99K,99K
8201,無敵,202003  ,M2300,M2331,23Z,23Z
8210,勤誠,202003  ,M2300,M2325,23D,23D4
8213,志超,202003  ,M2300,M2328,23B,23B2D
8249,菱光,202003  ,M2300,M2328,23C,23C2
8112,至上,202003  ,M2300,M2329,23T,23T2
8114,振樺電,202003  ,M2300,M2325,23B,23B5A
8464,億豐,202003  ,M9900,M9900,99B,99B
8466,美吉吉-KY,202003  ,M9900,M9900,13B,13B
8454,富邦媒,202003  ,M2900,M2900,23K,23K4
8467,波力-KY,202003  ,M9900,M9900,99Z,99ZC
